C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\6502df47a27bc94c9e4a7199a6c25f5b.dat | Amount: 11.06 | Date: 12/06/2026 | Text: '19:34\nOG\n257\n2026\n(3)\nSaldo cliente\n11.06.26.pdf\nPDF\n139.3KB Naobaixado\n12:51\njudy\n168/98889\njudy\n66/200k\njudy\n58/259500\njudy\n16/522500\njudy\n15/209400\njudy\n1/1000k\njudy\n991/361200\njudy\n6/600541'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-04\e153f76519426a422b162ef162809bb2.dat | Amount: 47399.45 | Date: 22/04/2026 | Text: 'XPFACTORY\nXP CRM\nULTIMA SINCRONIZACAO\nOPERACAO COMERCIAL\n22/04/2026,14:56:45\nSaudedacarteiradeclientesXp\nID10MA\n蚊\nUseesta telaparadecidirquem puxar agora,acompanhar faixasde\nMETA DO MES\n62.679/150.000\nrisco emanter a base atualizada.\n品Dashboard\nAbrir agenda do dia\nSincronizar Agora\nTEMPO MEDIO DE COMPRA\n35.6dias\n Metas\nAtendentes\nTOTAL DE CLIENTES\nCLIENTES ATIVOS\nCLIENTES EM ATENCAO\nCLIENTES INATIVOS\nLTV (VALOR VITALICIO)\nMETA MENSAL\n62.679 telas\nClientes\n1.563\n296\n188\n1.079\nR$ 47.399,45\nAlvo 150.000\n18,9% da base\nClientes dentro da zona a.\n12,0% dat\nClientesp\nndo monitor.\n69,0% da base\n Clientes fora da zona ativa\nExpe\nFaltam 87.321 para a meta\n42%\nMETA\nEstoque\nDESEMPENHO DE VENDAS\nPERFORMANCE DO MES\nEmbaixadores\nQuantidadedeitens(telas)vendidas\nRanking Mensal\nDesempenho corporativo com base\nVendas\nReativacao\nClientes novos\nProspeccao\nAcompanhe o volume mensal de itens vendidos. As linhas comparam o desempenho do ano atual com os anos anteriores.\nnas vendas do periodo.\nSegmentos\nRisco de parada\nEvolucao da base\nTelas vendidas\nCompare a participacao diaria de ativos, atencao e\nSuelen\nCompare o volume mensal (2024 a 2026).\nTOPPERFORMER\nAgenda\nVeja as faixas de dlias sem compra e fitre a lista.\ninativos.\n190VENDAS\n26.171 PECAS\n82CLIENTES\nClientes novos\n220.000\nThais\n131VENDAS\n17.459PECAS\n57cLIENTES\nReativacao\n165.000\n110.000\nAmanda\nAdmin\nadmin@exampl\n127VENDAS\n12.493PECAS\n70CLIENTES\n55.000'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-04\f9a5e5e80af5ec521c24cd90db2fc800.dat | Amount: 17.04 | Date: 17/04/2026 | Text: '16:21G\n5\n2026\n(3)\nETSNS\nAL\nBEA\n17/04/202619:57\nSaldo cliente\n17.04.26.pdf\nPDF\n248.6KB\nVALEG+OUT\n17.04.2026.pdf\nPDF\n403.2KB\n14:33\njudy\n6/628615\njudy\n66/200k\njudy\n1/800k\njudy\n168/221402\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\060ac28686fa6df288beb241f842b9b5.dat | Amount: 30.04 | Date: 30/04/2026 | Text: '17:45\nGD\n26\n2026\n(3)\n13347\nAL\nBEA\n30/04/202617:59\nSaldo cliente\n30.04.26.pdf\nPDF\n139.5KB\nVALEG+OUT\n30.04.2026.pdf\nPDF\n134.2KB\n16:51\njudy\n16/550196\njudy\n116/449327\njudy\n168/147059\njudy\n66/200k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\10269ce344624419590c1d9a6a706318.dat | Amount: 6.05 | Date: 03/07/2026 | Text: '16:22G\n161\n2026\n(3)\nOntem 19:06\nSaldo cliente\n06.05.26.pdf\nPDF\n249.3KB\nVALEG+OUT\n06.05.2026.pdf\nPDF\n409.5KB\n15:58\njudy\n66/200k\njudy\n1/550k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\15593b8540d95b9b7d0916784022d661.dat | Amount: 15.05 | Date: 03/07/2026 | Text: '16:29\n·GO\n2026\n(3)\nVALEG+OUT\n15.05.2026.pdf\nPDF\n304.0 KB Naobaixado\nCopia deSaldo\ncliente15.05.26.pdf\nPDF\n139.7 KB Nao baixado\n16:14\njudy\n69/200k\njudy\n991/252750\njudy\n116/254500\njudy\n1/800k\njudy\n168/150532\njudy\n566/300k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\173e8e30d053c2bb231b4c88052715ad.dat | Amount: 18.05 | Date: 03/07/2026 | Text: '16:33\nG\n59\n2026\n(3)\nGG\n26\n23736\n10073\n400s\n575\n132082\n15\n89\n565\n424310\n69S\nE435\n47218\n109\n474715\n50\n867706\nAL\n2600\n85266\nVALEG+OUT\n18.05.2026.pdf\nPDF\n301.5KB\nSaldo cliente\n18.05.26.pdf\nPDF\n139.2KB Naobaixado\n16:01\njudy\n16/300752\njudy\n116/409600\njudy\n1/600k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\1a9c1103399232c96239234b58e3e1dd.dat | Amount: 8.05 | Date: 03/07/2026 | Text: '16:56\nG\n136\n2026\n(3)\n5699\n223624\n10973\n1001\nSTIS\n16814\n343247\n690\n6435\n157\n105\n106424\n105\nAL\n2688\nBBA\nVALEG+OUT\n08.05.2026.pdf\nPDF\n296.7KB\nSaldo cliente\n08.05.26.pdf\nPDF\n139.1KB\n16:25\njudy\n396058/116\njudy\n99700/1\njudy\n220588/58\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\25e2fd575a4cb7a9ea0c5ebd7fa53f90.dat | Amount: 5.05 | Date: 03/07/2026 | Text: '16:56~G\n四\n21\n2026\n(3)\nOntem18:42\nSaldo cliente\n05.05.26.pdf\nPDF\n249.1KB\nVALEG+OUT\n05.05.2026.pdf\nPDF\n407.8KB\n13:29\njudy\n146520/168\njudy\n1/600k\njudy\n116/330330\njudy\n6/735294\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\45ff3588c5c97023cf5e0a60fe1c4d9c.dat | Amount: 8089.1 | Date: 03/07/2026 | Text: 'PlannewYouTube video content\n日\nProgress\nChat\n=Cowork\n<>Code\nde practitioner. Ninguem mais no Brasil tem esse angulo. Tipo: Case real |Fonte: Playbook\nLab-voceconfirmaoquetem disponivel\n/）-（√\n+New task\nProjects\nSee task progress for longer tasks.\nScheduled\n4.Comparativo visual:antes vs.depoisUm slide ou Excalidraw simples mostrando como era\n Live artifacts\noprocessomanual(vendedorabrindo5ferramentasdiferentes)vs.comoficacomoCowork\nWorking folder\n白DispatchBeta\ncoordenando tudo.→Torna a proposta de valorvisuale memoravel-especialmente para\nCEO quenaoquer detalhes tecnicos.Tipo:Visual/diagrama|Fonte:A criar\nCustomize\n>Scratchpad\nRecents\n5.Checklist desetupminimona telaMostrarrapidamenteoqueprecisainstalareconectar\nContext\nPlan new YouTube video content\n—lista curtaeobjetiva.Isso valecomo"prova”de queé acessivel:nao precisa de\nExtract YouTube video transcript\nConnectors\ndesenvolvedor,naoprecisa demeses deconfiguracao.→Remove objecaoimplicita de"isso\nCreate B2B prospecting flowchart clil\ndeve sercomplicado".Tipo:Demo/visual|Fonte:Producaopropria\nWeb search\nCustomize Excalidraw diagram gener\noCreate B2B prospecting flowchart fo\nSkills\nFind skills for dliagram tools\nDuas perguntas antes de travar:\nyoutube-brief\nUpdate Excalidraw skill with minimal\nVoce tem algum resultadoreal daPlaybook Labque dapara citar novideo(ponto3)?Mesmo\nyoutube-ldeacao\nReview contract terms and condition\nalgo aproximadoja ajuda muito—caso contrarioposso sugerir comoreformularesseponto.\nCreate new YouTube video\nEo comparativovisual doponto4—vocecostuma usarExcalidraw nos videos ou prefere\nBuild N8n lead enrichment automatid\nslide simples?\nCreate slides for YouTube presentatl\nN8N Claude integration tutorial copy\noBuild N8N automations with natural\nBuilld Linkedln cold emall automation\n米\nN8n connector functions overview\nCreate N8N automation PRD\nNao tenho numerosmas pode citar coisas genericas como“10xmais rapido”ou"3x mais leads"ou\noShare slide deck builder skill\ncoisas assim,figurativas.\n Daily email filter and WhatsApp sum\nCreate Cowork nlugin bundling tools\nRelaunch to update\nv1.8089.1\n十\nAsk\nSonnet 4.6\nvVictor·Pro\n也\nClaude is Al and can make mistakes. Please double-check responses.'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-06\9230ea1e922eeaa681731be25d36a15d.dat | Amount: 308.0 | Date: 03/07/2026 | Text: '17:35\nG目\n61\n2026\n(3)\nVALEG+OUT...2026.\npdf\nPDF\n308.0KB\n15:45\njudy\n116/222176\njudy\n16/264k\njudy\n15/158250\njudy\n18/100k\njudy\n66/200k\njudy\n808/532500\njudy\n116/77220\njudy\n116/154440\n5'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\4d4900994cf4f14a3460daaea047aa9f.dat | Amount: 28.05 | Date: 03/07/2026 | Text: '17:15G\n133\n2026\n(3)\n140995\n71\n1060\nAL\n2600\n991\n416120\n1374545\n11\nH107\nOntem 18:32\nSaldo cliente\n28.05.26.pdf\nPDF\n248.7KB\nVALEG+OUT\n28.05.2026.pdf\nPDF\n584.2KB\n15:07\njudy\n6/741893\njudy\n66/200k\njudy\n168/150376\njudy\n18/100k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\6d0c25ea081a097a2c800f5983380ae1.dat | Amount: 21.05 | Date: 03/07/2026 | Text: '18:39G\n94\n2026\n(3)\n109\n50\n749885\n105\nAL\n2600\n991\n108376\n13416612\nE253\nOntem 18:02\nSaldo cliente\n21.05.26.pdf\nPDF\n139.2KB\nVALEG+OUT\n21.05.2026.pdf\nPDF\n302.0KB\n15:57\njudy\n28/138512\njudy\n168/133582\njudy\n116/254500\njudy\n1/700k\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\6ed35aebddbfd28c55ba952f3b5552eb.dat | Amount: None | Date: 28/05/2026 | Text: 'Conversas\n41871887827034\n36 eventos - 0 nao lidas = Thais\nContato Inicial\nQ\nQ\nPesquisar\nSe eu pudesse te daria um credlito de 10 mil\nHojo,28/05/2026\n10:20\n103719182012524\n16:21\n[Sticker] \nMas n tenho esse poder\n10:20\n269603754213443\n16:21\nXP\nEu so\n[sticker]\n16:18\n41871887827034\n16:21\nEsqueci\n16:18\n cu to so essa figurinha kkkkkkkkkkkkkkkkkk \nDe fechar sua caixa\nRogaciano Batista\n16:19\n16:18\n[Sticker]\nE o menino veio retirar\n+55(11) 99643-5466\n16:19\n16:18\nTá\nB\nArquivorecebido\nTiago-MXDistribuidora\n15:13\n Arquivo recebido\nfechouuu,ja passei aquipara o Marx\n16:18\n199471333945534\n15:12\n[Imagem] \nArquivorecebido\nArquivo recebido\n16:19\nDeu sim\n16:19\neu to so essa figurinha kkkkkkkkkkkkkkk\n16:21'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\86592df82b9b6ceda1086c972f92bb36.dat | Amount: 22.05 | Date: 22/05/2026 | Text: '17:01G\n98\n2026\n(3)\n22.05.26.pdf\nPDF\n248.8 KB Nao baixado\nVALEG+OUT\n22.05.2026.pdf\nPDF\n296.8KB\n22/05/202619:15\njudy\n200k/66\n16:37\njudy\n168/99254\njudy\n116/6108\njudy\n6/516226\njudy\n16/225056\njudy\n15/153750\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\8bf5a1ce467a224fa5a68b70647c655f.dat | Amount: 1.3 | Date: 03/07/2026 | Text: '1.30\nJohnHammond\nEricParker\n@_JohnHammond\nMedusa\n@EricParker\n2,02 mi de inscritos - 1,6 mil videos\n@Medusa0xf\n164 mll inscritos · 260 videos\n7,21 mil inscritos • 90 videos\nObscure technology, malware investigations, open source\nFree Cybersecurity Education and Ethical Hacking.mais\nAPI-heavy hacking content for aspiring bug bounty hunters and\nsoftware. mais\nsecurity researchers._mais\nSnillxSec\nJansenMoreira\nHackStation\n@SnllxSec\n@JansenSec\n@CanalHackStation\n2,01 mil inscritos\n32 mil inscritos · 54 videos\n42,1 mil inscritos · 25 videos\nTudo sobre Web Sec com uma edic&o maravilhosa : ) mals\nPentester Profisslonal com objetivo de te tornar um hacker etico.\nmals\nOla, voce esta no HackStation, o canal sobre seguranca da\ninformacao e pentest focado em trazer conteudos sobre\nsjeu"\nSolydOffensiveSecurity\nLiveOverflow\nCoachDeOsasco\n@solyd\n@LiveOverflow\n151 mil inscritos • 319 videos\n916 mil inscritos • 427 videos\n@coachdeosasco\n16,9 mill inscritos * 882 videos\nA Solyd Offensive Security é a malor empresa de treinamentos em\njust a wannabe hacker.. making videos about various IT security\nseguranca ofensliva da America Latina com mals de 160 \nmais\nUm malandro que estudou...mais'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\8fe4c2ac45d287efc95a4437b5265339.dat | Amount: None | Date: 28/05/2026 | Text: 'Conversas\nRogaciano Batista\nContato Inicial\n27 eventos = 0 nao lidas = Thais\nQ\n Pesquisar\n16:24\nHoje,28/05/2026\nRogaciano Batista\n16:32\nKkk\n[Sticker]\n16:24\n41871887827034\n16:32\nRedmi 12 com aro, previsao ?\n[Sticker]\n16:26\nNote 13 4g oled sem aro\n80590799953958\n16:26\n16:26\npqpariu\nVi Papai Te Ama Muito  \n16:26\n0:00 / 0:10\nNao ainda\n?\n16:29\n103719182012524\n16:21\nFeroz\n[Sticker]\n16:30\n269603754213443\n16:21\nXP\n0:00/0:06\nD\n[Sticker] \n16:32\n+55(11) 99643-5466\nXP\n16:19\nT6\nArquivorecebido\nArquivo recebido\nTiago - MX Distribuidora\n15:13\n16:32\nfechouuu,ja passei aquiparao Marx\n0\n199471333945534\n15:12\nArquivo recebido\n[Imagem] \nArquivo recebido\n16:32'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\98a11286e4ea71e7fe6de1f60e5ba9e9.dat | Amount: 26.05 | Date: 03/07/2026 | Text: '16:51G\n101\n2026\n(3)\nOK\nCERTO18\n222524\n10973\n1001\n578\n883\n574300\n1241214\n030\n6435\n199\n12421581\nAL\n2005\n366329\nVALEG+OUT\n26.05.2026.pdf\nPDF\n204.0KB\n15:22\njudy\n66/200k\njudy\n808/444125\njudy\n168/150376\nの'
C:\Users\Felipe\Documents\WeChat Files\wxid_xd3703k0ih2p22\FileStorage\MsgAttach\9e20f478899dc29eb19741386f9343c8\Image\2026-05\b2024c2ccccd8afdb4c3ef6ab7a6cac6.dat | Amount: None | Date: 05/05/2026 | Text: 'curriculo-2025-ago-ptBR.docx.pdf\nPDF\n363KB.Ultmautilizacaoem05/05/2026\ncurriculum-2025-aug-en.docx.pdf\nPDF\n349KB-Ultimautizacaoem04/05/2026\nCarregueo curriculo\nDOC\nDOCX\nPDE(2MB)'
